bracken fern,latitude,longitude
1,47.3122486985,-122.5287559536
1,47.3119776246,-122.5367047159
1,47.3121504967,-122.5373088992
1,47.3117361531,-122.5366418402
1,47.3117977791,-122.5388128066
1,47.3156830724,-122.543593507
1,47.3028608831,-122.5280610939
1,47.3022525665,-122.5265178179
1,47.3101315232,-122.5375374662
1,47.3102937692,-122.537574358
1,47.3101230713,-122.5376403615
1,47.3099496682,-122.5370125474
1,47.3100894364,-122.5371659362
1,47.3102381231,-122.5375514882
1,47.3144964085,-122.5389830687
1,47.3145675052,-122.5387676153
1,47.3149135983,-122.5383135211
1,47.3148101742,-122.5384049485
1,47.317581184,-122.5435954947
1,47.3171760566,-122.5441550161
1,47.316424466,-122.5442686933
1,47.3166150332,-122.5353839389
1,47.3165812173,-122.5356432558
1,47.3053737255,-122.5344426923
1,47.305464891,-122.5343378098
1,47.309346481,-122.5386389638
1,47.3114073409,-122.5403648558
1,47.3120808698,-122.5406113725
1,47.311768729,-122.5406836885
1,47.3178273254,-122.5452938037
1,47.3164040002,-122.5396592185
1,47.3066147331,-122.5331468208
1,47.3067594497,-122.5338075396
1,47.3066596409,-122.5339268504
1,47.3066765181,-122.5337695052
1,47.306791655,-122.5348020999
1,47.3165756139,-122.5438423132
1,47.3162280842,-122.5440880404
1,47.3072914582,-122.5353877372
1,47.3077679848,-122.5361606969
1,47.3079274267,-122.5364745011
