huckleberry,latitude,longitude
1,47.3104526873,-122.5290861503
1,47.3101429655,-122.5325768736
1,47.3101055716,-122.5290866197
1,47.3098711731,-122.5319642947
1,47.3101027636,-122.5325035864
1,47.3074145631,-122.5259254667
1,47.3065301531,-122.5280505313
1,47.3065858831,-122.5286475906
1,47.3040904213,-122.5241245791
1,47.3050388831,-122.5241940788
1,47.3052412831,-122.5230455671
1,47.3054229731,-122.5231889446
1,47.3042706871,-122.5246790283
1,47.3042724894,-122.5247672056
1,47.3053298411,-122.5232686518
1,47.3054860631,-122.5232475036
1,47.3035851676,-122.5254241854
1,47.3041436757,-122.5278266695
1,47.3041642169,-122.5279228442
1,47.3038538789,-122.5283090555
1,47.3039050831,-122.5284605043
1,47.3039102031,-122.5284343066
1,47.3039230335,-122.5283631129
1,47.3038664763,-122.5283616799
1,47.3039749903,-122.5285156193
1,47.3040266231,-122.5286033905
1,47.3039160646,-122.5282701969
1,47.3038042562,-122.5284647645
1,47.3039871014,-122.5285660386
1,47.303956779400004,-122.5285133504
1,47.3037772979,-122.528632092
1,47.3038472594,-122.5283663315
1,47.303835676,-122.528798226
1,47.3039604028,-122.5287067779
1,47.3038551456,-122.5287117422
1,47.3037852905,-122.5287674307
1,47.3038466301,-122.5288714062
1,47.3047591231,-122.5301413026
1,47.3048299331,-122.5303058937
1,47.3037474031,-122.5289946255
1,47.3044552431,-122.5304130853
1,47.304443381,-122.5303775075
1,47.3047025048,-122.5302516303
1,47.3055819662,-122.5303995783
1,47.3057084544,-122.5305482422
1,47.3050424019,-122.5303001338
1,47.3050722831,-122.5302247648
1,47.3053115431,-122.5302775084
1,47.3054497231,-122.5304478408
1,47.3055020431,-122.5304489134
1,47.3044878816,-122.5316703072
1,47.3031454653,-122.5240590402
1,47.3061647026,-122.5320390155
1,47.305184164800004,-122.5327756067
1,47.3084764484,-122.5302907791
1,47.3063698298,-122.5315982531
1,47.3070237306,-122.52932471
1,47.3077587711,-122.5290482346
1,47.3079096046,-122.5288278946
1,47.3077038831,-122.5310910879
1,47.3077913631,-122.5308629609
1,47.310529612,-122.5282444899
1,47.3093105623,-122.532785123
1,47.3091625987,-122.5327602841
1,47.3094056249,-122.5329012358
1,47.3097147631,-122.5329008052
1,47.3098935121,-122.5331130342
1,47.3096564979,-122.5329021627
1,47.310128598,-122.5330264236
1,47.3103243558,-122.5332404146
1,47.3106929431,-122.5331371744
1,47.3083946217,-122.5234229676
1,47.3086329398,-122.5309643035
1,47.3106536472,-122.5330696029
1,47.3108485502,-122.5332412452
1,47.3110016801,-122.5332698641
1,47.3109245379,-122.5334378428
1,47.3111943937,-122.5336383187
1,47.3111629268,-122.5330965005
1,47.3108719196,-122.533254138
1,47.311124246,-122.5329846917
1,47.3116811037,-122.5325940988
1,47.3119679069,-122.5326177046
1,47.31219844,-122.5326461731
1,47.3128748481,-122.532627876
1,47.3114057576,-122.5327962344
1,47.3117223592,-122.5324199841
1,47.3121467893,-122.5329268733
1,47.3126692486,-122.5327864802
1,47.3130654219,-122.532531798
1,47.3139870372,-122.5327388245
1,47.313786752,-122.5328125263
1,47.3143218454,-122.5325959771
1,47.3154872311,-122.5336122476
1,47.3153616813,-122.5336206734
1,47.3156993047,-122.5341835575
1,47.3157090945,-122.5340524083
1,47.3157430037,-122.5341226921
1,47.316134627,-122.5343065174
1,47.3159893721,-122.5346226732
1,47.3162739492,-122.5357050859
1,47.3164616951,-122.536445684
1,47.316250144,-122.5369298487
1,47.3161865779,-122.5362691461
1,47.3156303418,-122.5367954374
1,47.3157468885,-122.5368937004
1,47.316010633,-122.5368249428
1,47.3162579183,-122.5369651735
1,47.3161397206,-122.5368896447
1,47.3154704224,-122.537236786
1,47.3154179251,-122.539039899
1,47.3158537928,-122.5395536005
1,47.3155737105,-122.5381482723
1,47.3167138082,-122.5402607834
1,47.3156063398,-122.5392345832
1,47.3174931513,-122.5410682957
1,47.3174060365,-122.5409883978
1,47.3171383958,-122.5405917285
1,47.317549018,-122.541253586
1,47.3171502075,-122.5407087438
1,47.3035462852,-122.5190999172
1,47.3035550959,-122.5190467616
1,47.3107446128,-122.5335898475
1,47.3106195911,-122.5338865466
1,47.3110098184,-122.5343789706
1,47.3117973257,-122.53524252
1,47.3108732358,-122.5338475411
1,47.3120493884,-122.5359562472
1,47.3120015171,-122.5363092272
1,47.3118836308,-122.5359266443
1,47.3129197473,-122.5379285307
1,47.3129506529,-122.5384256087
1,47.312585318000004,-122.5381638495
1,47.3133680093,-122.5391155724
1,47.3132194411,-122.5385007633
1,47.313248028,-122.5391197874
1,47.3131220653,-122.5390600782
1,47.312823283,-122.5378976126
1,47.3130577324,-122.5390681759
1,47.3133666083,-122.5394570582
1,47.3136514947,-122.5393858417
1,47.3138010831,-122.5399228549
1,47.3142984357,-122.5406798953
1,47.3140963826,-122.5405425706
1,47.3135318137,-122.5404393458
1,47.3140934383,-122.5401919042
1,47.3139813521,-122.5409242189
1,47.3142411625,-122.5407512136
1,47.3148361695,-122.5422413599
1,47.3146214124,-122.5414732829
1,47.3144921684,-122.5416508607
1,47.3149159397,-122.542173998
1,47.3150532307,-122.542262453
1,47.315174222,-122.5425804581
1,47.3145305436,-122.5415806199
1,47.3149188633,-122.5423629417
1,47.3097276765,-122.5337292221
