oregon grape,latitude,longitude
1,47.3049841531,-122.5188862627
1,47.3092165246,-122.5243525857
1,47.3035851676,-122.5254241854
1,47.3039604028,-122.5287067779
1,47.3037392915,-122.532829404
1,47.3083946217,-122.5234229676
1,47.306216211,-122.5305986766
1,47.3109245379,-122.5334378428
1,47.3114057576,-122.5327962344
1,47.3126692486,-122.5327864802
1,47.3155737105,-122.5381482723
1,47.3030918968,-122.5189463263
1,47.302606129,-122.5191549229
1,47.3120015171,-122.5363092272
1,47.3135561151,-122.5392430273
1,47.3142984357,-122.5406798953
1,47.3142411625,-122.5407512136
1,47.3097812279,-122.5336934049
1,47.3098820337,-122.5365781353
1,47.3080295805,-122.5347763786
1,47.3079109099,-122.5352029776
1,47.3077838786,-122.5356620711
1,47.3076245876,-122.5358212594
1,47.3121504967,-122.5373088992
1,47.3117361531,-122.5366418402
1,47.3125432593,-122.5383422829
1,47.3119816128,-122.5387595253
1,47.3126761031,-122.5382765219
1,47.3159368576,-122.5439731862
1,47.3098083372,-122.5367775481
1,47.31006889,-122.5375267345
1,47.3101230713,-122.5376403615
1,47.3099887823,-122.5378009859
1,47.3144964085,-122.5389830687
1,47.317581184,-122.5435954947
1,47.3170460511,-122.5438393207
1,47.3120808698,-122.5406113725
1,47.3158835719,-122.5449869729
1,47.315876867,-122.5383127026
1,47.3065017732,-122.5326071867
1,47.3067594497,-122.5338075396
1,47.3066361119,-122.5338550944
1,47.3161579868,-122.5441456567
1,47.3078033204,-122.5361981008
1,47.3037594431,-122.525760313
1,47.3040010763,-122.5264915086
1,47.3040059031,-122.5267278605
1,47.3041370046,-122.5274892739
1,47.3037986643,-122.5289356522
1,47.3038603924,-122.5289188981
1,47.312265895,-122.5323901145
1,47.3032843236,-122.5190990249
1,47.3151096815,-122.5425316036
