salal,latitude,longitude
1,47.3054337921,-122.5190070459
1,47.3051882023,-122.5188956504
1,47.3053760827,-122.5188752824
1,47.3051762064,-122.5188854176
1,47.3101933522,-122.532474865
1,47.3085012431,-122.5308679418
1,47.3098711731,-122.5319642947
1,47.3099279618,-122.5253924803
1,47.3060531194,-122.5307584051
1,47.3040514067,-122.5323567354
1,47.3041278984,-122.524228331
1,47.3045735918,-122.5243023772
1,47.3043126295,-122.5245169028
1,47.3050388831,-122.5241940788
1,47.3053207831,-122.5236763188
1,47.3052412831,-122.5230455671
1,47.3060504839,-122.5238254574
1,47.3048017656,-122.5303316649
1,47.3055819662,-122.5303995783
1,47.3055213495,-122.5304963346
1,47.3055425923,-122.5304894865
1,47.3057084544,-122.5305482422
1,47.3060040731,-122.5314769453
1,47.3053115431,-122.5302775084
1,47.3052966531,-122.5301883261
1,47.3055020431,-122.5304489134
1,47.3031454653,-122.5240590402
1,47.3058270919,-122.5308896914
1,47.3059603631,-122.5307387899
1,47.3054148515,-122.5323002239
1,47.3070797603,-122.5314876987
1,47.3080089631,-122.5306483249
1,47.3071524594,-122.5198312384
1,47.3072159631,-122.5198022755
1,47.3080732123,-122.5322979686
1,47.3083440711,-122.5323185288
1,47.3103243558,-122.5332404146
1,47.3060750943,-122.5313927832
1,47.3061692831,-122.5314508721
1,47.306216211,-122.5305986766
1,47.3108485502,-122.5332412452
1,47.3111629268,-122.5330965005
1,47.3112755973,-122.5327826145
1,47.3153115593,-122.5335493205
1,47.316226006,-122.5344248502
1,47.3162035198,-122.5346369485
1,47.3156303418,-122.5367954374
1,47.3157468885,-122.5368937004
1,47.3158289894,-122.5371948209
1,47.3154179251,-122.539039899
1,47.3158856259,-122.5394639873
1,47.3158537928,-122.5395536005
1,47.3155737105,-122.5381482723
1,47.3169636781,-122.5405948161
1,47.3156063398,-122.5392345832
1,47.3172786593,-122.5404902402
1,47.3174931513,-122.5410682957
1,47.3174060365,-122.5409883978
1,47.3171383958,-122.5405917285
1,47.3171502075,-122.5407087438
1,47.3107446128,-122.5335898475
1,47.3106195911,-122.5338865466
1,47.3108732358,-122.5338475411
1,47.3120493884,-122.5359562472
1,47.3123198122,-122.5363895853
1,47.3118836308,-122.5359266443
1,47.3129197473,-122.5379285307
1,47.3129506529,-122.5384256087
1,47.3132194411,-122.5385007633
1,47.313248028,-122.5391197874
1,47.312823283,-122.5378976126
1,47.3136514947,-122.5393858417
1,47.3140963826,-122.5405425706
1,47.3135318137,-122.5404393458
1,47.3145441958,-122.5416428251
1,47.3149159397,-122.542173998
1,47.3150532307,-122.542262453
1,47.3149188633,-122.5423629417
1,47.3097276765,-122.5337292221
1,47.3100462342,-122.5336096245
1,47.3097672072,-122.533616004
1,47.3098306922,-122.5336177873
1,47.3104689063,-122.5357508248
1,47.3099412632,-122.536635956
1,47.3094780488,-122.5367787817
1,47.3094174051,-122.536589168
1,47.3088516762,-122.5367327566
1,47.3086386047,-122.536353662
1,47.3090911645,-122.5371847084
1,47.3097213732,-122.5366103009
1,47.3086838704,-122.5366386516
1,47.3094928904,-122.533693189
1,47.3095410954,-122.5340167599
1,47.3079920235,-122.535364703
1,47.3093720831,-122.5339284463
1,47.3078109945,-122.5353487672
1,47.3078757386,-122.5356704833
1,47.3076628181,-122.5351768534
1,47.307700699,-122.5358294121
1,47.3076217705,-122.5353699217
1,47.3077094533,-122.5353429731
1,47.3075427903,-122.5353635081
1,47.3077838786,-122.5356620711
1,47.3116088116,-122.5364206892
1,47.3119776246,-122.5367047159
1,47.3121860045,-122.537071323
1,47.3117361531,-122.5366418402
1,47.3120394634,-122.5381462236
1,47.3122321224,-122.5383672551
1,47.3120313881,-122.5386704887
1,47.3117977791,-122.5388128066
1,47.3120506172,-122.5387499188
1,47.3152120288,-122.5430292142
1,47.3152368513,-122.5430412594
1,47.3100905906,-122.5338007036
1,47.3104633846,-122.5343406192
1,47.3105276782,-122.5340329603
1,47.3154066764,-122.54320186
1,47.3152971802,-122.5431216588
1,47.3104695411,-122.5339744403
1,47.3123079974,-122.5389794346
1,47.3153082373,-122.543067641
1,47.3159368576,-122.5439731862
1,47.3159897917,-122.5445097281
1,47.3161453565,-122.5447193201
1,47.3098083372,-122.5367775481
1,47.3101315232,-122.5375374662
1,47.31006889,-122.5375267345
1,47.3099887823,-122.5378009859
1,47.3099496682,-122.5370125474
1,47.3099809233,-122.5374046417
1,47.3140609926,-122.5385761307
1,47.3102381231,-122.5375514882
1,47.3144964085,-122.5389830687
1,47.3143819692,-122.5385797845
1,47.3149135983,-122.5383135211
1,47.3156585138,-122.5395175005
1,47.3150636737,-122.5390489509
1,47.30308,-122.5279533333
1,47.302505,-122.528245
1,47.3173772271,-122.54305576
1,47.3114083032,-122.5334054364
1,47.3114856074,-122.5343227755
1,47.3166150332,-122.5353839389
1,47.3165812173,-122.5356432558
1,47.3114121435,-122.5342644572
1,47.3166850125,-122.5355203668
1,47.3040869975,-122.5338864157
1,47.3042174347,-122.5337922298
1,47.3052829394,-122.5346068908
1,47.30549086,-122.534425199
1,47.3055823561,-122.5345219085
1,47.3060209616,-122.5350384001
1,47.309346481,-122.5386389638
1,47.31135574,-122.5400878281
1,47.311067499399996,-122.5405398449
1,47.3114073409,-122.5403648558
1,47.3119713789,-122.5409601497
1,47.3138010634,-122.5430971017
1,47.3153556124,-122.5449930216
1,47.3156129823,-122.5450563202
1,47.3178273254,-122.5452938037
1,47.3179183854,-122.5452127309
1,47.3166617946,-122.5361510824
1,47.3169706939,-122.5363512456
1,47.3173133733,-122.5370015886
1,47.3166113334,-122.5378151439
1,47.315876867,-122.5383127026
1,47.3171800889,-122.5402980687
1,47.3171086768,-122.5405022301
1,47.3171640415,-122.5405514935
1,47.3171036168,-122.5405703448
1,47.3172287431,-122.5406683145
1,47.3178663655,-122.540027062
1,47.3160987993,-122.5393479358
1,47.317990569,-122.5426776417
1,47.3180839756,-122.5413372534
1,47.3180224742,-122.542357306
1,47.3179112814,-122.5414398676
1,47.3066361119,-122.5338550944
1,47.3067589644,-122.5344230579
1,47.3070613187,-122.5346481291
1,47.3070644495,-122.5347948634
1,47.3066765181,-122.5337695052
1,47.3070592836,-122.5346242347
1,47.3070224806,-122.5347426356
1,47.3179096884,-122.543717587
1,47.3178963015,-122.5437436728
1,47.3179194844,-122.5443720891
1,47.3179755163,-122.5443491911
1,47.3161247872,-122.5436227547
1,47.3165756139,-122.5438423132
1,47.3178704822,-122.5441966445
1,47.3162280842,-122.5440880404
1,47.316253259,-122.5435495668
1,47.30720212,-122.5351996737
1,47.3072914582,-122.5353877372
1,47.3077679848,-122.5361606969
1,47.3077821038,-122.536263962
1,47.3078033204,-122.5361981008
1,47.3084229084,-122.5369314861
