sword fern,latitude,longitude
1,47.3096991231,-122.5272146719
1,47.3104526873,-122.5290861503
1,47.3087305431,-122.5311642232
1,47.3101055716,-122.5290866197
1,47.3082695231,-122.5312070736
1,47.3098711731,-122.5319642947
1,47.3046305274,-122.5326490773
1,47.3037392915,-122.532829404
1,47.3062039531,-122.5320723615
1,47.3047222753,-122.5324219027
1,47.3078212693,-122.5288741722
1,47.3079096046,-122.5288278946
1,47.308800990500004,-122.5303628494
1,47.3077038831,-122.5310910879
1,47.3077913631,-122.5308629609
1,47.310529612,-122.5282444899
1,47.3105357727,-122.5286086836
1,47.3131663354,-122.5295547151
1,47.3122486985,-122.5287559536
1,47.3044573507,-122.5243608659
1,47.3083946217,-122.5234229676
1,47.3039071207,-122.5240627811
1,47.3061692831,-122.5314508721
1,47.3111629268,-122.5330965005
1,47.3119679069,-122.5326177046
1,47.31219844,-122.5326461731
1,47.3121467893,-122.5329268733
1,47.3148458431,-122.5330913155
1,47.3153115593,-122.5335493205
1,47.3154195488,-122.533704453
1,47.3156993047,-122.5341835575
1,47.3157430037,-122.5341226921
1,47.3162739492,-122.5357050859
1,47.3165181626,-122.5363790531
1,47.3165707935,-122.5359082591
1,47.316250144,-122.5369298487
1,47.3161865779,-122.5362691461
1,47.3164675855,-122.5364446651
1,47.3160804019,-122.536616864
1,47.3161074647,-122.5369362643
1,47.3157468885,-122.5368937004
1,47.316010633,-122.5368249428
1,47.3159461115,-122.5370915919
1,47.3161397206,-122.5368896447
1,47.3158289894,-122.5371948209
1,47.3169636781,-122.5405948161
1,47.317549018,-122.541253586
1,47.3171502075,-122.5407087438
1,47.3030918968,-122.5189463263
1,47.3120015171,-122.5363092272
1,47.3118836308,-122.5359266443
1,47.3131220653,-122.5390600782
1,47.3131770009,-122.5388478399
1,47.3133450101,-122.5392749169
1,47.3135561151,-122.5392430273
1,47.3133666083,-122.5394570582
1,47.3138010831,-122.5399228549
1,47.3137804063,-122.5398686421
1,47.3142984357,-122.5406798953
1,47.3140963826,-122.5405425706
1,47.3141070258,-122.5404819553
1,47.3142411625,-122.5407512136
1,47.3148361695,-122.5422413599
1,47.3146214124,-122.5414732829
1,47.3149159397,-122.542173998
1,47.3145305436,-122.5415806199
1,47.3079828862,-122.5350110312
1,47.3078109945,-122.5353487672
1,47.3079311767,-122.5351598564
1,47.3078757386,-122.5356704833
1,47.3077838786,-122.5356620711
1,47.3073271524,-122.5352548363
1,47.3116088116,-122.5364206892
1,47.3121142765,-122.5375444256
