trailing blackberry,latitude,longitude
1,47.3040473829,-122.5239400653
1,47.3040786731,-122.5239570992
1,47.3122486985,-122.5287559536
1,47.31006889,-122.5375267345
1,47.3173772271,-122.54305576
1,47.3165812173,-122.5356432558
1,47.315876867,-122.5383127026
1,47.3068052205,-122.5338454518
1,47.3070592836,-122.5346242347
1,47.3178704822,-122.5441966445
1,47.317980745,-122.5443433045
1,47.3072914582,-122.5353877372
1,47.3078033204,-122.5361981008
1,47.3038966463,-122.5240282083
1,47.3042624908,-122.5239395919
1,47.317853367,-122.5432868092
1,47.318123416,-122.5435435263
1,47.3072452858,-122.5352796418
