field.tree.health.condition,latitude,longitude
Fair,47.3046731763,-122.5163898804
Fair,47.3061065237,-122.5187528228
Fair,47.3062313721,-122.5185747911
Fair,47.3053760827,-122.5188752824
Fair,47.3096991231,-122.5272146719
Fair,47.3101933522,-122.532474865
Fair,47.3101429655,-122.5325768736
Fair,47.3099279618,-122.5253924803
Fair,47.3085988431,-122.5247323049
Fair,47.3077778264,-122.5251572551
Fair,47.3072798177,-122.5260517001
Fair,47.3065301531,-122.5280505313
Fair,47.3060531194,-122.5307584051
Fair,47.3038886721,-122.5331691933
Fair,47.30378679,-122.533303639
Fair,47.3038294168,-122.5329765914
Fair,47.3040733362,-122.5328351701
Fair,47.3035885672,-122.5240665706
Fair,47.3037491972,-122.5239928534
Fair,47.3029182206,-122.5249033396
Fair,47.3045735918,-122.5243023772
Fair,47.3043126295,-122.5245169028
Fair,47.3054229731,-122.5231889446
Fair,47.3054860631,-122.5232475036
Fair,47.3088612831,-122.522580339
Fair,47.3061096878,-122.523759422
Fair,47.3040010763,-122.5264915086
Fair,47.3090102131,-122.5225497187
Fair,47.3041436757,-122.5278266695
Fair,47.3038538789,-122.5283090555
Fair,47.3039050831,-122.5284605043
Fair,47.3037906638,-122.5282103077
Fair,47.3039230335,-122.5283631129
Fair,47.3038664763,-122.5283616799
Fair,47.3039749903,-122.5285156193
Fair,47.3039843331,-122.5285416353
Fair,47.3039160646,-122.5282701969
Fair,47.3038042562,-122.5284647645
Fair,47.3039683031,-122.5284991868
Fair,47.3038551456,-122.5287117422
Fair,47.3037852905,-122.5287674307
Fair,47.303860538,-122.5288901646
Fair,47.3038603924,-122.5289188981
Fair,47.3054497231,-122.5304478408
Fair,47.3031454653,-122.5240590402
Fair,47.3084764484,-122.5302907791
Fair,47.3077587711,-122.5290482346
Fair,47.3077913631,-122.5308629609
Fair,47.3071783831,-122.5315304585
Fair,47.3093105623,-122.532785123
Fair,47.3094056249,-122.5329012358
Fair,47.3061304396,-122.5185515443
Fair,47.3038910422,-122.5327992233
Fair,47.3106536472,-122.5330696029
Fair,47.3109245379,-122.5334378428
Fair,47.3147212448,-122.5329547243
Fair,47.3159461115,-122.5370915919
Fair,47.3162828007,-122.5398156724
Fair,47.3174931513,-122.5410682957
Fair,47.3171383958,-122.5405917285
Fair,47.3036538195,-122.5182445787
Fair,47.3106195911,-122.5338865466
Fair,47.3117973257,-122.53524252
Fair,47.3108732358,-122.5338475411
Fair,47.3118836308,-122.5359266443
Fair,47.3129197473,-122.5379285307
Fair,47.3129506529,-122.5384256087
Fair,47.3131220653,-122.5390600782
Fair,47.3133450101,-122.5392749169
Fair,47.3135561151,-122.5392430273
Fair,47.3142984357,-122.5406798953
Fair,47.3140963826,-122.5405425706
Fair,47.3150532307,-122.542262453
Fair,47.315174222,-122.5425804581
Fair,47.3100462342,-122.5336096245
Fair,47.3099412632,-122.536635956
Fair,47.3094928904,-122.533693189
Fair,47.3093720831,-122.5339284463
Fair,47.3079828862,-122.5350110312
Fair,47.3078109945,-122.5353487672
Fair,47.3079311767,-122.5351598564
Fair,47.3077132097,-122.5354367865
Fair,47.3078685403,-122.535661941
Fair,47.3076332646,-122.5351462752
Fair,47.3075089684,-122.5352758636
Fair,47.30773206,-122.5357688764
Fair,47.307425454,-122.5349468505
Fair,47.3076359451,-122.5357313136
Fair,47.3076134094,-122.535566115
Fair,47.3076245876,-122.5358212594
Fair,47.3121860045,-122.537071323
Fair,47.3121504967,-122.5373088992
Fair,47.312125658,-122.5378676438
Fair,47.3118893808,-122.5387281188
Fair,47.3120506172,-122.5387499188
Fair,47.3152120288,-122.5430292142
Fair,47.3104633846,-122.5343406192
Fair,47.315736468,-122.5440112873
Fair,47.3022525665,-122.5265178179
Fair,47.3101315232,-122.5375374662
Fair,47.3102937692,-122.537574358
Fair,47.3103271142,-122.5375634802
Fair,47.3102381231,-122.5375514882
Fair,47.3143815216,-122.5389236101
Fair,47.314678338,-122.5389930868
Fair,47.3023133333,-122.5263366667
Fair,47.3162976919,-122.54437774
Fair,47.3114856074,-122.5343227755
Fair,47.3165812173,-122.5356432558
Fair,47.3166850125,-122.5355203668
Fair,47.3040604809,-122.5338577471
Fair,47.3042174347,-122.5337922298
Fair,47.311025942,-122.5390561235
Fair,47.3109113748,-122.5392674044
Fair,47.3138010634,-122.5430971017
Fair,47.3141705367,-122.5435732712
Fair,47.314085059600004,-122.5435143663
Fair,47.3147354922,-122.5439493434
Fair,47.3150109815,-122.5443620289
Fair,47.3171086768,-122.5405022301
Fair,47.317990569,-122.5426776417
Fair,47.3180839756,-122.5413372534
Fair,47.3065017732,-122.5326071867
Fair,47.3066147331,-122.5331468208
Fair,47.3066596409,-122.5339268504
Fair,47.3070170517,-122.5346760286
Fair,47.3181922961,-122.5433405188
Fair,47.3180142442,-122.5445271127
