field.tree.health.condition,latitude,longitude
Good,47.3030092009,-122.5294234884
Good,47.3038466667,-122.5330666667
Good,47.3036648197,-122.5328595804
Good,47.3050321036,-122.5176688441
Good,47.3042873203,-122.5170258955
Good,47.3062351859,-122.5185093285
Good,47.3065083333,-122.5186916667
Good,47.3066904354,-122.5191071537
Good,47.3054337921,-122.5190070459
Good,47.3051882023,-122.5188956504
Good,47.3052957422,-122.5189000928
Good,47.3052543131,-122.5189191713
Good,47.3051762064,-122.5188854176
Good,47.3050203131,-122.5188810659
Good,47.3049841531,-122.5188862627
Good,47.3049491131,-122.5189438463
Good,47.3050351531,-122.5187817403
Good,47.3050462631,-122.5187923853
Good,47.3045206331,-122.5187900384
Good,47.3042397531,-122.5188058802
Good,47.3036032331,-122.5187960734
Good,47.3091592094,-122.5240576433
Good,47.3104526873,-122.5290861503
Good,47.3089612367,-122.5307267866
Good,47.3087305431,-122.5311642232
Good,47.3084209218,-122.5312101913
Good,47.3101055716,-122.5290866197
Good,47.3094083731,-122.5297470299
Good,47.3085012431,-122.5308679418
Good,47.3082695231,-122.5312070736
Good,47.3098711731,-122.5319642947
Good,47.3092165246,-122.5243525857
Good,47.3098813231,-122.526238298
Good,47.3065858831,-122.5286475906
Good,47.3045034429,-122.5328697001
Good,47.3045232579,-122.5328653578
Good,47.3046305274,-122.5326490773
Good,47.304296263,-122.5326950815
Good,47.3043031153,-122.5325363596
Good,47.3040977587,-122.5324919355
Good,47.304143386,-122.5325482066
Good,47.3046512438,-122.5325879338
Good,47.3041823069,-122.5325692772
Good,47.3040514067,-122.5323567354
Good,47.303734638,-122.5327988411
Good,47.3039735714,-122.5325254897
Good,47.3042099986,-122.5328111704
Good,47.3040950632,-122.5325485158
Good,47.3042750875,-122.5332643034
Good,47.3039379015,-122.533310835
Good,47.3039986949,-122.5330630106
Good,47.303955392,-122.5331043174
Good,47.3038306728,-122.5327586594
Good,47.3038563873,-122.5327237277
Good,47.3037777788,-122.5327652711
Good,47.303661732,-122.5329146349
Good,47.3040760031,-122.5327599044
Good,47.3040301231,-122.5334755065
Good,47.3043435918,-122.5315724622
Good,47.3041881168,-122.5327750731
Good,47.3038966463,-122.5240282083
Good,47.3040473829,-122.5239400653
Good,47.304127105,-122.5241678729
Good,47.3040786731,-122.5239570992
Good,47.3042624908,-122.5239395919
Good,47.3041408331,-122.5239809324
Good,47.3041278984,-122.524228331
Good,47.3040904213,-122.5241245791
Good,47.3037659942,-122.5244042722
Good,47.3036921331,-122.5242078696
Good,47.3037935874,-122.5243185369
Good,47.303500479,-122.5241102993
Good,47.3036747824,-122.5240619331
Good,47.3033330531,-122.5242866114
Good,47.3034492059,-122.5240099821
