field.tree.health.condition,latitude,longitude
Poor,47.3101027636,-122.5325035864
Poor,47.3074145631,-122.5259254667
Poor,47.3073834647,-122.525992524
Poor,47.3040606021,-122.5334054438
Poor,47.3041464934,-122.5324798663
Poor,47.3039102031,-122.5284343066
Poor,47.3039871014,-122.5285660386
Poor,47.303956779400004,-122.5285133504
Poor,47.3047025048,-122.5302516303
Poor,47.3055425923,-122.5304894865
Poor,47.3063003769,-122.5185349729
Poor,47.310529612,-122.5282444899
Poor,47.310128598,-122.5330264236
Poor,47.3103243558,-122.5332404146
Poor,47.3106929431,-122.5331371744
Poor,47.3055285579,-122.5306769262
Poor,47.307676392,-122.5351647839
Poor,47.3121585242,-122.5380918611
Poor,47.3126761031,-122.5382765219
Poor,47.3099740216,-122.5336766329
Poor,47.3104695411,-122.5339744403
Poor,47.3150742033,-122.5388606614
Poor,47.3114083032,-122.5334054364
Poor,47.3114121435,-122.5342644572
Poor,47.3105141664,-122.5394757911
Poor,47.3166054234,-122.5377248219
Poor,47.3162089324,-122.5381760647
Poor,47.3178663655,-122.540027062
