western starflower,latitude,longitude
1,47.3164675855,-122.5364446651
1,47.3078757386,-122.5356704833
1,47.3077838786,-122.5356620711
1,47.3119776246,-122.5367047159
1,47.3121086112,-122.5383012183
1,47.3121024547,-122.5383879285
1,47.3120841312,-122.5384859777
1,47.3120313881,-122.5386704887
1,47.3159368576,-122.5439731862
1,47.3098083372,-122.5367775481
1,47.31006889,-122.5375267345
1,47.3101230713,-122.5376403615
1,47.3100894364,-122.5371659362
1,47.3145675052,-122.5387676153
1,47.3056148749,-122.5344370292
1,47.305464891,-122.5343378098
1,47.3055823561,-122.5345219085
1,47.3070224806,-122.5347426356
1,47.306791655,-122.5348020999
1,47.3077679848,-122.5361606969
1,47.3077189311,-122.5362722263
1,47.3079274267,-122.5364745011
1,47.3078033204,-122.5361981008
1,47.3079216377,-122.5362768024
1,47.3079091955,-122.5351632528
