id,user_name,latitude,longitude,scientific_name,common_name,field:dieback percent,field:optional - signs of sap sucker feeding?,field:optional - what 'other factors' were observed?,field:tree health condition,field:tree number,field:tree diameter,field:tree canopy symptoms - wrc - simplified,field:most prevalent understory species,field:are baby redcedar trees present within sight?
214021115,,47.3030092009,-122.5294234884,Thuja plicata,western redcedar,0,,No selection,Good,001,8.5,Healthy,,
214025429,Fig,47.3038466667,-122.5330666667,Thuja plicata,western redcedar,0,No,No selection,Good,195,18.3,Healthy,,No
214027782,,47.3036648197,-122.5328595804,Thuja plicata,western redcedar,0,No,No selection,Good,198,28,Thinning Canopy,,No
232946824,Joey H,47.3050321036,-122.5176688441,Thuja plicata,western redcedar,0,,No selection,Good,401,41.4,Healthy,"None, mulched area",No
232990742,Joey H,47.3046731763,-122.5163898804,Thuja plicata,western redcedar,5,,"Insect damage on trunk (holes, frass, galleries, etc.)",Fair,402,54.5,Dead Top,Grass,No
233571384,Joey H,47.3042873203,-122.5170258955,Thuja plicata,western redcedar,0,Yes,"Animal damage (woodpecker/sapsucker holes, bark peeling)",Good,301,43.5,Healthy,Grass,No
234394642,Ray Lepore,47.3061065237,-122.5187528228,Thuja plicata,western redcedar,0,Yes,Other (please describe in Notes),Fair,102,30.7,Thinning Canopy,None,No
234401098,Ray Lepore,47.3062313721,-122.5185747911,Thuja plicata,western redcedar,0,No,No selection,Fair,194,22.7,Thinning Canopy,None,No
234401211,Ray Lepore,47.3062351859,-122.5185093285,Thuja plicata,western redcedar,0,No,No selection,Good,193,24.4,Other (please describe in Notes),None,No
234954018,,47.3065083333,-122.5186916667,Thuja plicata,western redcedar,"",No,No selection,Good,100,30,Healthy,"",No
234956011,,47.3066328202,-122.5186798572,Thuja plicata,western redcedar,0,No Selection,No selection,No selection,99,24,Healthy,"",No Selection
234958919,,47.3066904354,-122.5191071537,Thuja plicata,western redcedar,0,No Selection,No selection,Good,98,24.5,Healthy,"",No Selection
234966967,,47.3068652072,-122.5194951019,Thuja plicata,western redcedar,"",No Selection,No selection,No selection,96,19,Healthy,"",No Selection
236326879,Ray Lepore,47.3054337921,-122.5190070459,Thuja plicata,western redcedar,0,No,No selection,Good,192,13.4,Healthy,"Salah, Wax Myrtle, other shrubberies",No
236329173,Ray Lepore,47.3051882023,-122.5188956504,Thuja plicata,western redcedar,0,Maybe,No selection,Good,109,13.3,Healthy,Salah,No
236351850,Ray Lepore,47.3053760827,-122.5188752824,Thuja plicata,western redcedar,0,No,No selection,Fair,106,13.3,Thinning Canopy,"Salah, ferns, blackberry, ivy and Wax Myrtle",No
236351982,Ray Lepore,47.3052957422,-122.5189000928,Thuja plicata,western redcedar,0,No,No selection,Good,108,12.9,Thinning Canopy,None,No
236352114,Ray Lepore,47.3052543131,-122.5189191713,Thuja plicata,western redcedar,0,No,No selection,Good,107,6,Thinning Canopy,unsure,No
236352345,Ray Lepore,47.3051762064,-122.5188854176,Thuja plicata,western redcedar,0,No,Other (please describe in Notes),Good,110,7.4,Thinning Canopy,Salah,No
236352445,Ray Lepore,47.3050203131,-122.5188810659,Thuja plicata,western redcedar,0,No,No selection,Good,191,15.8,Healthy,Cherry Laurel and Wax Myrtle,No
236352543,Ray Lepore,47.3049841531,-122.5188862627,Thuja plicata,western redcedar,0,No,No selection,Good,111,15.6,Healthy,"Cherry Laurel, Wax Myrtle, Oregon Grape, etc.",Yes
236352678,Ray Lepore,47.3049491131,-122.5189438463,Thuja plicata,western redcedar,0,No,No selection,Good,112,16.3,Healthy,Baby Cherry Laurels maybe,No
236352742,Ray Lepore,47.3050351531,-122.5187817403,Thuja plicata,western redcedar,0,No,No selection,Good,113,12.6,Thinning Canopy,Cherry or Portuguese Laurels,Yes
236352804,Ray Lepore,47.3050462631,-122.5187923853,Thuja plicata,western redcedar,0,No,No selection,Good,114,8.9,Thinning Canopy,Cherry Laurel,No
236352970,Ray Lepore,47.3045206331,-122.5187900384,Thuja plicata,western redcedar,0,No,No selection,Good,115,56.1,Healthy,None,No
236353073,Ray Lepore,47.3042397531,-122.5188058802,Thuja plicata,western redcedar,5,Yes,Other (please describe in Notes),Good,116,46.9,Thinning Canopy,None,No
236353244,Ray Lepore,47.3036032331,-122.5187960734,Thuja plicata,western redcedar,0,Yes,No selection,Good,117,47.3,Healthy,Ferns and stinking iris,No
237909753,,47.3091592094,-122.5240576433,Thuja plicata,western redcedar,0,No,No selection,Good,188,36,Thinning Canopy,None,No
237918831,,47.3096991231,-122.5272146719,Thuja plicata,western redcedar,"",Yes,No selection,Fair,118,54.3,Thinning Canopy,Sword ferns,No
237923863,,47.3104526873,-122.5290861503,Thuja plicata,western redcedar,0,No,No selection,Good,185,38.2,Healthy,Huckleberry’s and sword ferns,No
237927875,,47.3089612367,-122.5307267866,Thuja plicata,western redcedar,0,No,No selection,Good,183,29.1,Healthy,Ferns,No
237931639,,47.3087305431,-122.5311642232,Thuja plicata,western redcedar,0,No,No selection,Good,181,48.1,Healthy,Sword ferns,No
237935754,,47.3084209218,-122.5312101913,Thuja plicata,western redcedar,0,No,No selection,Good,180,42,Healthy,Ferns,No
237937638,,47.3101933522,-122.532474865,Thuja plicata,western redcedar,0,No,Other (please describe in Notes),Fair,119,14.8,Healthy,Salal minimal,No
237952977,,47.3101429655,-122.5325768736,Thuja plicata,western redcedar,0,No,Other (please describe in Notes),Fair,122,35,Healthy,Huckleberry and ferns sparse,No
237955035,Ray Lepore,47.3101055716,-122.5290866197,Thuja plicata,western redcedar,0,No,No selection,Good,186,41.8,Healthy,Huckleberry and sword ferns,No
237955164,Ray Lepore,47.3094083731,-122.5297470299,Thuja plicata,western redcedar,0,No,No selection,Good,184,44.5,Healthy,None,No
237955236,Ray Lepore,47.3085012431,-122.5308679418,Thuja plicata,western redcedar,0,No,No selection,Good,182,9.4,Healthy,Salah,No
237955393,Ray Lepore,47.3082695231,-122.5312070736,Thuja plicata,western redcedar,0,No,No selection,Good,189,25.1,Healthy,Sword ferns,No
237955519,Ray Lepore,47.3098711731,-122.5319642947,Thuja plicata,western redcedar,0,No,No selection,Good,179,45,Healthy,"Salah, sword ferns, huckleberry",No
237955596,Ray Lepore,47.3101027636,-122.5325035864,Thuja plicata,western redcedar,0,No,Multiple factors (please describe in Notes),Poor,120,39.1,Thinning Canopy,Huckleberry,No
238447663,,47.3092165246,-122.5243525857,Thuja plicata,western redcedar,"",Yes,No selection,Good,121,49.6,Healthy,Ferns Oregon grape,No
238449375,,47.3099279618,-122.5253924803,Thuja plicata,western redcedar,10,No,Multiple factors (please describe in Notes),Fair,178,41.5,Branch Dieback or 'Flagging',Sala ferns,No
238451883,,47.3098813231,-122.526238298,Thuja plicata,western redcedar,0,No,No selection,Good,177,21.7,Healthy,Ferns,No
